address,type_house,type_forrent,area,floor,furniture,condition,price
"62 Cách Mạng Tháng Tám, Q5",phòng trọ,cho thuê,19.0,0,đầy đủ,tốt,3800000.0
"52 Võ Chí Công, Q8",phòng trọ,cho thuê,16.0,0,đầy đủ,cũ,2400000.0
"137 Lạc Long Quân, Q8",phòng trọ,cho thuê,16.0,0,cơ bản,tốt,2000000.0
"167 Lê Lợi, Q7",nhà nguyên căn,bán,39.0,1,không có,cũ,1049400000.0
"185 Lê Văn Duyệt, Q7",văn phòng,cho thuê,460.0,3,cơ bản,tốt,425900000.0
"33 Hai Bà Trưng, Q10",phòng trọ,cho thuê,16.0,0,đầy đủ,mới,2300000.0
"107 Bùi Viện, Q8",văn phòng,bán,535.0,13,đầy đủ,cũ,17550600000.0
"93 Hai Bà Trưng, Q4",phòng trọ,cho thuê,9.0,0,không có,tốt,1100000.0
"152 Võ Nguyên Giáp, Q7",phòng trọ,cho thuê,20.0,0,đầy đủ,cũ,1800000.0
"58 Tôn Đức Thắng, Q10",phòng trọ,cho thuê,15.0,0,cơ bản,tốt,2400000.0
"65 Bùi Viện, Q6",phòng trọ,cho thuê,15.0,0,không có,mới,2000000.0
"123 Pasteur, Q5",nhà nguyên căn,bán,29.0,1,đầy đủ,tốt,2411700000.0
"78 Công xã Paris, Q2",nhà nguyên căn,cho thuê,42.0,3,không có,mới,8100000.0
"166 Châu Văn Liêm, Q5",phòng trọ,cho thuê,10.0,0,đầy đủ,cũ,800000.0
"142 Tôn Đức Thắng, Q7",văn phòng,cho thuê,165.0,3,đầy đủ,tốt,280200000.0
"160 Tôn Đức Thắng, Q4",phòng trọ,cho thuê,11.0,0,cơ bản,mới,1300000.0
"16 Quốc tế, Q10",nhà nguyên căn,bán,37.0,4,không có,cũ,5211100000.0
"167 Quốc tế, Q8",nhà nguyên căn,bán,42.0,1,đầy đủ,mới,2879700000.0
"115 Pasteur, Q3",phòng trọ,cho thuê,11.0,0,cơ bản,cũ,1500000.0
"183 Âu Cơ, Q7",phòng trọ,cho thuê,10.0,0,đầy đủ,tốt,1700000.0
"160 Nguyễn Văn Linh, Q9",nhà nguyên căn,bán,41.0,3,không có,tốt,8316400000.0
"148 Nguyễn Văn Linh, Q6",phòng trọ,cho thuê,9.0,0,cơ bản,mới,1400000.0
"91 Phạm Văn Đồng, Q10",phòng trọ,cho thuê,11.0,0,đầy đủ,mới,1500000.0
"53 Phạm Văn Đồng, Q5",chung cư,bán,90.0,12,đầy đủ,tốt,3633100000.0
"154 Rừng Sác, Q9",chung cư,bán,84.0,2,cơ bản,cũ,2576200000.0
"32 Nam Kỳ Khởi Nghĩa, Q3",văn phòng,cho thuê,325.0,8,đầy đủ,cũ,658000000.0
"164 Lũy Bán Bích, Q4",phòng trọ,cho thuê,18.0,0,đầy đủ,tốt,1200000.0
"197 Trần Hưng Đạo, Q5",phòng trọ,cho thuê,14.0,0,không có,tốt,1600000.0
"22 Võ Chí Công, Q6",văn phòng,cho thuê,200.0,19,cơ bản,mới,114800000.0
"90 Cách Mạng Tháng Tám, Q10",phòng trọ,cho thuê,16.0,0,đầy đủ,mới,3700000.0
"168 Quách Thị Trang, Q6",văn phòng,cho thuê,425.0,10,cơ bản,mới,297400000.0
"1 Nguyễn Huệ, Q7",phòng trọ,cho thuê,19.0,0,cơ bản,tốt,1500000.0
"135 Võ Nguyên Giáp, Q7",phòng trọ,cho thuê,12.0,0,đầy đủ,mới,1600000.0
"8 Phạm Ngũ Lão, Q3",phòng trọ,cho thuê,14.0,0,không có,cũ,2100000.0
"92 Nguyễn Văn Linh, Q7",phòng trọ,cho thuê,11.0,0,đầy đủ,cũ,1200000.0
"62 Nguyễn Huệ, Q4",phòng trọ,cho thuê,16.0,0,cơ bản,mới,2000000.0
"36 Lê Duẩn, Q7",chung cư,bán,65.0,4,cơ bản,cũ,3071200000.0
"41 Tôn Đức Thắng, Q10",phòng trọ,cho thuê,19.0,0,không có,mới,2300000.0
"135 Dân Chủ, Q3",nhà nguyên căn,bán,36.0,2,đầy đủ,cũ,5603000000.0
"190 Lam Sơn, Q5",phòng trọ,cho thuê,10.0,0,không có,cũ,1000000.0
"198 Hai Bà Trưng, Q7",phòng trọ,cho thuê,16.0,0,cơ bản,mới,1200000.0
"28 Lê Lợi, Q7",phòng trọ,cho thuê,13.0,0,đầy đủ,tốt,1800000.0
"182 Lê Lợi, Q3",phòng trọ,cho thuê,16.0,0,không có,tốt,1200000.0
"179 Dân Chủ, Q3",phòng trọ,cho thuê,17.0,0,không có,tốt,1000000.0
"121 Lý Thường Kiệt, Q9",phòng trọ,cho thuê,19.0,0,cơ bản,mới,2800000.0
"165 Nguyễn Trãi, Q10",nhà nguyên căn,bán,42.0,5,không có,tốt,14952600000.0
"169 Xô Viết Nghệ Tĩnh, Q4",nhà nguyên căn,bán,34.0,2,cơ bản,mới,5671100000.0
"121 Hai Bà Trưng, Q10",phòng trọ,cho thuê,11.0,0,đầy đủ,tốt,2200000.0
"163 Cách Mạng Tháng Tám, Q8",phòng trọ,cho thuê,17.0,0,không có,cũ,900000.0
"103 Lạc Long Quân, Q2",nhà nguyên căn,bán,43.0,2,không có,mới,3379000000.0
"163 Hàm Nghi, Q8",phòng trọ,cho thuê,17.0,0,không có,mới,1200000.0
